dates,transect_id,longitude,latitude
2021-12-17 05:37:35+00:00,T13,266461.5300376902,580467.1195663036
2021-12-17 05:37:35+00:00,T14,266493.4301589479,580466.1233287154
2021-12-17 05:37:35+00:00,T15,266519.73340072174,580462.4107100669
2021-12-17 05:37:35+00:00,T16,266544.92366920016,580459.2090350254
2021-12-17 05:37:35+00:00,T17,266580.1307008043,580454.0524546201
2021-12-17 05:37:35+00:00,T18,266630.8745544639,580452.140560964
2021-12-17 05:37:35+00:00,T19,266707.92747095186,580443.7749313964
2021-12-27 05:37:37+00:00,T1,266772.0915337367,580486.1997633391
2021-12-27 05:37:37+00:00,T2,266701.9040333445,580568.9518178351
2021-12-27 05:37:37+00:00,T3,266622.09249535174,580584.3295277123
2021-12-27 05:37:37+00:00,T4,266576.2875544313,580586.7699156695
2021-12-27 05:37:37+00:00,T5,266545.1938933236,580584.9779388271
2021-12-27 05:37:37+00:00,T6,266519.0654795863,580583.2716523234
2021-12-27 05:37:37+00:00,T7,266492.7614144341,580583.5989579665
2021-12-27 05:37:37+00:00,T8,266456.85111536883,580582.344096027
2021-12-27 05:37:37+00:00,T9,266400.15138845757,580577.4924366651
2021-12-27 05:37:37+00:00,T10,266327.1288489099,580546.2967025968
2021-12-27 05:37:37+00:00,T11,266328.4494274566,580491.5713210884
2021-12-27 05:37:37+00:00,T12,266403.79031940293,580464.5905830495
2021-12-27 05:37:37+00:00,T13,266461.1416853717,580461.1075864931
2021-12-27 05:37:37+00:00,T14,266492.9162324503,580452.5111020023
2021-12-27 05:37:37+00:00,T15,266519.12576327316,580450.8343806826
2021-12-27 05:37:37+00:00,T16,266543.9382969575,580448.575259044
2021-12-27 05:37:37+00:00,T17,266578.0747887159,580443.0165342877
2021-12-27 05:37:37+00:00,T18,266635.5120870425,580429.7428846995
2021-12-27 05:37:37+00:00,T19,266714.02873136534,580435.3047287714
2021-12-29 05:25:29+00:00,T1,266762.0688582621,580494.8994537254
2021-12-29 05:25:29+00:00,T2,266711.03890356113,580590.2628609114
2021-12-29 05:25:29+00:00,T3,266622.61884957564,580588.0447026426
2021-12-29 05:25:29+00:00,T4,266576.1103867864,580592.7204616684
2021-12-29 05:25:29+00:00,T5,266544.9575078406,580590.0145366783
2021-12-29 05:25:29+00:00,T6,266518.83255210967,580589.8919845412
2021-12-29 05:25:29+00:00,T7,266492.6014859729,580589.166973922
2021-12-29 05:25:29+00:00,T8,266456.52921363706,580590.1744142104
2021-12-29 05:25:29+00:00,T9,266398.606989063,580585.801716747
2021-12-29 05:25:29+00:00,T10,266320.0502194949,580550.7948425934
2021-12-29 05:25:29+00:00,T11,266332.8788839855,580494.6122550953
2021-12-29 05:25:29+00:00,T12,266405.4231834877,580476.2409476768
2021-12-29 05:25:29+00:00,T13,266461.6304545331,580468.6740929623
2021-12-29 05:25:29+00:00,T14,266493.5007522246,580467.9931129966
2021-12-29 05:25:29+00:00,T15,266519.9845164589,580467.1948103453
2021-12-29 05:25:29+00:00,T16,266545.1819107629,580461.9958832934
2021-12-29 05:25:29+00:00,T17,266580.59941797314,580456.568479193
2021-12-29 05:25:29+00:00,T18,266635.2708755411,580430.9078527138
2021-12-29 05:25:29+00:00,T19,266705.80858890276,580446.7165138037
2022-01-11 05:37:43+00:00,T1,266736.36405701924,580517.2112419123
2022-01-11 05:37:43+00:00,T2,266742.26220971905,580663.1047521195
